alpha,delta,u,g,r,i,z,redshift,plate,MJD,fiber_ID,y
135.6891066,32.49463184,23.87882,22.2753,20.39501,19.16573,18.79371,0.6347936,5812,56354,171,0
144.8261006,31.27418489,24.77759,22.83188,22.58444,21.16812,21.61427,0.779136,10445,58158,427,0
142.1887896,35.58244418,25.26307,22.66389,20.60976,19.34857,18.94827,0.6441945,4576,55592,299,0
338.7410378,-0.402827575,22.13682,23.77656,21.61162,20.50454,19.2501,0.9323456,9149,58039,775,0
345.2825932,21.1838656,19.43718,17.58028,16.49747,15.97711,15.54461,0.1161227,6121,56187,842,0
340.9951205,20.58947628,23.48827,23.33776,21.32195,20.25615,19.54544,1.424659,5026,55855,741,1
23.23492643,11.41818762,21.46973,21.17624,20.92829,20.60826,20.42573,0.5864546,11069,58456,113,1
5.433176037,12.06518599,22.24979,22.02172,20.34126,19.48794,18.84999,0.477009,6183,56210,15,0
200.2904754,47.19940232,24.40286,22.35669,20.61032,19.4649,18.95852,0.660012,6625,56386,719,0
39.1496906,28.10284161,21.74669,20.03493,19.17553,18.81823,18.65422,-7.90E-06,2444,54082,232,2
328.0920762,18.22031048,25.77163,22.52042,20.63884,19.78071,19.05765,0.4595958,5020,55852,525,0
243.9866375,25.73828043,23.76761,23.79969,20.98318,19.80745,19.45579,0.5914091,4727,55693,855,0
345.8018744,32.67286785,23.17274,20.14496,19.41948,19.22034,18.89359,7.18E-05,6504,56540,574,2
331.50203,10.03580205,20.8294,18.75091,17.51118,17.01631,16.62772,0.1521936,5065,55739,200,0
344.9847703,-0.352615781,23.20911,22.79291,22.08589,21.86282,21.8512,0.8181597,9215,57682,796,0
244.8245231,25.15456399,24.8868,22.13311,20.44728,19.49171,18.9747,0.4849288,4727,55693,23,0
353.2015224,3.080795936,24.5489,21.44267,20.95315,20.7936,20.48442,-0.000428576,4283,55864,178,2
1.494388639,3.29174633,20.38562,20.40514,20.29996,20.05918,19.89044,2.031528,8743,57663,295,1
14.38313522,3.214326196,21.82154,20.5573,19.94918,19.76057,19.55514,-0.000440276,8753,57373,258,2
167.1316688,67.33993563,20.48292,18.67807,17.6168,17.11936,16.73351,0.1115879,490,51929,613,0
171.9754246,67.74745014,22.13367,20.84772,18.96537,18.31696,17.98124,0.3747563,491,51942,572,0
144.7852927,46.82649568,24.54793,22.33601,20.92259,19.87177,19.16934,-0.000120359,7316,56710,756,2
145.2730374,46.96013381,25.44243,20.77028,19.6617,19.08481,18.83176,0.6623096,834,52316,115,0
145.8830055,47.30048358,21.73992,21.53095,21.26763,21.36257,21.15861,2.07568,7308,56709,596,1
241.4262672,27.22469494,18.88323,17.54229,17.01789,16.75376,16.72259,0.03208113,1393,52824,368,0
132.922468,4.521864697,21.2611,20.50495,18.36379,23.17828,17.96264,0.2509563,1190,52670,190,0
143.2880176,5.552052211,25.98497,21.31456,19.61107,18.83178,18.27728,0.4612782,4871,55928,170,0
140.6000381,5.265757704,25.46577,22.4065,21.43408,20.26256,19.98775,0.6110625,4870,55923,203,0
333.3115106,-0.376122967,20.53324,18.84066,18.05369,17.60397,17.2903,0.09108476,1034,52813,184,0
337.0934355,-0.31177327,20.15491,18.37295,17.31276,16.82294,16.44342,0.1482283,376,52143,231,0
252.7585486,19.49352687,24.36048,20.3777,18.53392,17.84004,17.44505,0.3846326,1568,53169,199,0
240.2139089,27.96429085,23.08039,22.02426,20.80525,19.90149,19.37544,0.546072,4725,55711,141,0
255.5748935,45.47870292,23.73066,22.82349,21.32414,19.81448,19.28439,0.7491816,6025,56098,313,0
20.05255573,11.49788077,21.89214,21.35124,21.18755,20.843,20.7658,1.528308,11074,58488,306,1
144.721737,5.846847285,22.88916,21.63309,20.06106,19.13263,18.9481,0.5091722,4872,55944,375,0
44.92336027,3.175548751,23.8628,22.7784,20.98458,19.70143,19.24533,0.5981273,4257,55480,987,0
136.2630712,3.944003082,24.06677,23.00891,21.0967,20.12869,19.68312,0.5215806,3817,55277,833,0
140.5129827,45.40361267,20.71552,18.85877,17.72017,17.24668,16.87722,0.1769632,833,52314,229,0
136.4183782,36.15267852,20.66654,22.21825,24.8026,21.43702,22.82647,0.000308486,10241,58157,799,2
121.6100097,41.92872069,22.42006,21.26692,19.40369,18.74999,18.26678,0.349364,3803,55513,703,0
181.6453305,42.27399522,21.20149,19.77107,19.27176,19.04226,18.9441,4.83E-05,8382,57513,919,2
146.9257842,14.88003749,25.52618,22.45513,21.82048,20.83807,20.28395,0.8072085,9587,57784,357,0
179.698615,33.67319762,23.27982,20.35433,18.79782,18.13757,17.74069,0.2701222,4601,55589,862,0
332.0871561,17.41592025,27.0971,22.56329,20.61106,19.698,19.07937,0.5719764,5029,55750,452,0
188.0680012,7.561201476,22.26849,21.88272,19.86473,18.81373,18.06582,0.5932347,5402,55927,183,0
344.7698884,26.92854864,22.33744,20.02736,19.2826,19.04074,18.90521,-9.96E-05,7706,57575,344,2
40.79574267,3.564368114,22.79262,22.29579,22.23841,21.55672,21.01273,1.065883,9417,58055,748,0
228.4477283,12.74503193,22.36261,21.7106,21.5963,21.60179,21.12727,2.689002,5488,56013,320,1
345.221147,2.593461754,21.90143,21.79169,21.44344,21.25545,21.07686,1.289637,11303,58428,340,1
129.6280955,29.05905655,24.91692,21.27143,19.59078,18.90489,18.49419,0.3208058,1268,52933,113,0
129.1990205,28.70175406,23.01294,20.46514,18.83662,18.16925,17.73204,0.3466544,1268,52933,144,0
168.7266013,27.6809253,21.65936,21.73216,21.61713,21.60229,21.24192,1.007728,11357,58522,220,1
341.3918991,-0.3176731,22.92673,23.03158,22.75313,21.40591,20.70943,0.8201154,9207,57667,206,0
355.1751317,11.84861064,22.7706,22.25927,20.1723,19.13553,18.60195,0.5075994,6158,56239,797,0
5.016618104,11.95733598,22.29616,20.17357,18.60767,17.99611,17.59206,0.2520262,6189,56237,668,0
117.8254525,28.94828104,21.78552,21.67436,21.9174,20.55012,19.68962,0,10287,58101,533,0
7.295167962,15.2714948,22.72659,22.31748,20.5118,19.45051,18.86085,0.5326954,6191,56248,711,0
242.0735629,30.73984433,20.75533,18.52615,17.34166,16.82644,16.42062,0.1566293,1406,52876,328,0
238.4858024,33.12477863,25.519,22.20538,20.10958,19.10345,18.64843,0.5283154,4966,55712,767,0
246.4388755,27.73664265,24.82672,21.61567,19.70549,18.88857,18.48836,0.4425065,5005,55751,464,0
230.2132666,33.3020821,22.83827,19.99337,18.49053,17.86074,17.50969,0.272813,4719,55736,630,0
252.6546525,19.73278903,25.19646,21.77507,20.79209,19.86567,19.89753,0.5948668,4179,55684,223,0
240.664803,27.58654467,19.1855,18.02785,17.46046,17.14015,16.97431,0.08925132,1392,52822,504,0
192.3450646,37.43512023,22.14838,20.87264,19.02323,18.41182,18.33893,0.3488444,1989,53772,255,0
241.4373201,27.18005059,25.1444,22.24196,20.59213,19.56918,19.08057,0.5246236,4724,55742,775,0
254.3532997,18.29647358,20.64171,18.761,17.38466,16.83926,16.41518,0.1709112,1567,53172,167,0
229.6086882,33.50265484,19.6081,18.12493,17.494,17.12954,16.9521,0.08400773,1386,53116,510,0
252.4109335,19.75733601,22.08841,19.65585,18.15532,17.59347,17.20853,0.2538029,4179,55684,266,0
236.8022966,29.80142598,25.9803,21.89943,20.07695,19.12181,18.63752,0.4925865,4726,55712,687,0
338.6601797,20.30826281,22.74328,22.04119,21.13037,19.93169,19.81143,0.6866302,6119,56181,425,0
332.7613218,19.25864004,22.11101,19.30047,17.9669,17.3835,16.94589,0.2032944,5021,55863,28,0
178.5046159,54.3791571,21.77434,21.65529,21.77547,21.72382,21.66425,1.93908,8228,57423,667,1
144.742439,46.96719089,20.87676,20.61914,20.55744,20.54716,20.15146,1.040196,7316,56710,745,1
124.2315837,3.643403828,18.75124,17.35669,16.6507,16.25624,16.03383,0.08687948,1184,52641,177,0
